GEOID;COUNTRY;STATE;IECC15;IECC21;BA15;BA21;MOISTURE15;MOISTURE21;CPU
G08047;Gilpin;Colorado;5;5;Cold;Cold;B;B
G13089;DeKalb;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G17093;Kendall;Illinois;5;5;Cold;Cold;A;A
G19019;Buchanan;Iowa;6;5;Cold;Cold;A;A
G26079;Kalkaska;Michigan;6;6;Cold;Cold;A;A
G27097;Morrison;Minnesota;6;6;Cold;Cold;A;A
G01079;Lawrence;Alabama;3;3;Mixed-Humid;Mixed-Humid;A;A
G05059;Hot Spring;Arkansas;3;3;Mixed-Humid;Mixed-Humid;A;A
G35011;De Baca;New Mexico;4;4;Mixed-Dry;Mixed-Dry;B;B
G17009;Brown;Illinois;5;5;Cold;Cold;A;A
G20155;Reno;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G31151;Saline;Nebraska;5;5;Cold;Cold;A;A
G29027;Callaway;Missouri;4;4;Mixed-Humid;Mixed-Humid;A;A
G36099;Seneca;New York;5;5;Cold;Cold;A;A
G28019;Choctaw;Mississippi;3;3;Mixed-Humid;Mixed-Humid;A;A
G40011;Blaine;Oklahoma;3;3;Mixed-Humid;Mixed-Humid;A;A
G48375;Potter;Texas;4;4;Mixed-Dry;Mixed-Dry;B;B
G48455;Trinity;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G55107;Rusk;Wisconsin;6;6;Cold;Cold;A;A
G72145;Vega Baja;;;;;;;
G53069;Wahkiakum;Washington;4;4;Marine;Marine;C;C
G48103;Crane;Texas;3;3;Hot-Dry;Hot-Dry;B;B
G47117;Marshall;Tennessee;4;3;Mixed-Humid;Mixed-Humid;A;A
G48381;Randall;Texas;4;4;Mixed-Dry;Mixed-Dry;B;B
G48285;Lavaca;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G29097;Jasper;Missouri;4;4;Mixed-Humid;Mixed-Humid;A;A
G17187;Warren;Illinois;5;5;Cold;Cold;A;A
G18107;Montgomery;Indiana;5;5;Cold;Cold;A;A
G28081;Lee;Mississippi;3;3;Mixed-Humid;Mixed-Humid;A;A
G28087;Lowndes;Mississippi;3;3;Mixed-Humid;Mixed-Humid;A;A
G39113;Montgomery;Ohio;5;5;Cold;Cold;A;A
G31137;Phelps;Nebraska;5;5;Cold;Cold;A;A
G17181;Union;Illinois;4;4;Mixed-Humid;Mixed-Humid;A;A
G01017;Chambers;Alabama;3;3;Mixed-Humid;Mixed-Humid;A;A
G13073;Columbia;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G17083;Jersey;Illinois;5;4;Cold;Mixed-Humid;A;A
G26151;Sanilac;Michigan;6;5;Cold;Cold;A;A
G29031;Cape Girardeau;Missouri;4;4;Mixed-Humid;Mixed-Humid;A;A
G37055;Dare;North Carolina;3;3;Mixed-Humid;Mixed-Humid;A;A
G47139;Polk;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G22063;Livingston;Louisiana;2;2;Hot-Humid;Hot-Humid;A;A
G21069;Fleming;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G29117;Livingston;Missouri;5;5;Cold;Cold;A;A
G29085;Hickory;Missouri;4;4;Mixed-Humid;Mixed-Humid;A;A
G39173;Wood;Ohio;5;5;Cold;Cold;A;A
G40107;Okfuskee;Oklahoma;3;3;Mixed-Humid;Mixed-Humid;A;A
G51840;Winchester;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G48441;Taylor;Texas;3;3;Hot-Dry;Hot-Dry;B;B
G54095;Tyler;West Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G55015;Calumet;Wisconsin;6;5;Cold;Cold;A;A
G31143;Polk;Nebraska;5;5;Cold;Cold;A;A
G31157;Scotts Bluff;Nebraska;5;5;Cold;Cold;A;A
G05009;Boone;Arkansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G12103;Pinellas;Florida;2;2;Hot-Humid;Hot-Humid;A;A
G16081;Teton;Idaho;6;6;Cold;Cold;B;B
G20129;Morton;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G26059;Hillsdale;Michigan;5;5;Cold;Cold;A;A
G36101;Steuben;New York;6;5;Cold;Cold;A;A
G39083;Knox;Ohio;5;5;Cold;Cold;A;A
G40105;Nowata;Oklahoma;3;4;Mixed-Humid;Mixed-Humid;A;A
G47181;Wayne;Tennessee;4;3;Mixed-Humid;Mixed-Humid;A;A
G54065;Morgan;West Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G13067;Cobb;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G13305;Wayne;Georgia;2;2;Hot-Humid;Hot-Humid;A;A
G17123;Marshall;Illinois;5;5;Cold;Cold;A;A
G18031;Decatur;Indiana;5;4;Cold;Mixed-Humid;A;A
G19023;Butler;Iowa;6;5;Cold;Cold;A;A
G20073;Greenwood;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G39169;Wayne;Ohio;5;5;Cold;Cold;A;A
G40153;Woodward;Oklahoma;3;4;Mixed-Humid;Mixed-Humid;A;A
G46025;Clark;South Dakota;6;6;Cold;Cold;A;A
G47169;Trousdale;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G48025;Bee;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G48151;Fisher;Texas;3;3;Hot-Dry;Hot-Dry;B;B
G48005;Angelina;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G56033;Sheridan;Wyoming;6;6;Cold;Cold;B;B
G48383;Reagan;Texas;3;3;Hot-Dry;Hot-Dry;B;B
G51159;Richmond;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G54105;Wirt;West Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G56031;Platte;Wyoming;5;5;Cold;Cold;B;B
G48161;Freestone;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G28155;Webster;Mississippi;3;3;Mixed-Humid;Mixed-Humid;A;A
G20023;Cheyenne;Kansas;5;5;Cold;Cold;A;A
G31179;Wayne;Nebraska;5;5;Cold;Cold;A;A
G31109;Lancaster;Nebraska;5;5;Cold;Cold;A;A
G38075;Renville;North Dakota;7;7;Very Cold;Very Cold;;
G08125;Yuma;Colorado;5;5;Cold;Cold;B;B
G27131;Rice;Minnesota;6;6;Cold;Cold;A;A
G30065;Musselshell;Montana;6;6;Cold;Cold;B;B
G31185;York;Nebraska;5;5;Cold;Cold;A;A
G37063;Durham;North Carolina;4;3;Mixed-Humid;Mixed-Humid;A;A
G47007;Bledsoe;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G48341;Moore;Texas;4;4;Mixed-Dry;Mixed-Dry;B;B
G49031;Piute;Utah;5;5;Cold;Cold;B;B
